,Year,Gdp
1815,1815,901
1816,1816,882
1817,1817,882
1818,1818,882
1819,1819,882
1820,1820,882
1821,1821,882
1822,1822,882
1823,1823,882
1824,1824,882
1825,1825,882
1826,1826,846
1827,1827,846
1828,1828,846
1829,1829,846
1830,1830,846
1831,1831,846
1832,1832,846
1833,1833,846
1834,1834,846
1835,1835,846
1836,1836,849
1837,1837,849
1838,1838,849
1839,1839,849
1840,1840,849
1841,1841,849
1842,1842,849
1843,1843,849
1844,1844,849
1845,1845,849
1846,1846,858
1847,1847,858
1848,1848,858
1849,1849,858
1850,1850,858
1851,1851,858
1852,1852,858
1853,1853,858
1854,1854,858
1855,1855,858
1856,1856,858
1857,1857,858
1858,1858,858
1859,1859,858
1860,1860,858
1861,1861,945
1862,1862,945
1863,1863,945
1864,1864,945
1865,1865,945
1866,1866,945
1867,1867,945
1868,1868,945
1869,1869,945
1870,1870,945
1871,1871,945
1872,1872,945
1873,1873,945
1874,1874,945
1875,1875,945
1876,1876,945
1877,1877,945
1878,1878,945
1879,1879,912
1880,1880,912
1881,1881,912
1882,1882,912
1883,1883,912
1884,1884,912
1885,1885,912
1886,1886,912
1887,1887,912
1888,1888,912
1889,1889,964
1890,1890,964
1891,1891,964
1892,1892,964
1893,1893,964
1894,1894,964
1895,1895,964
1896,1896,972
1897,1897,972
1898,1898,972
1899,1899,972
1900,1900,972
1901,1901,972
1902,1902,972
1903,1903,972
1904,1904,972
1905,1905,972
1906,1906,905
1907,1907,905
1908,1908,905
1909,1909,905
1910,1910,905
1911,1911,905
1912,1912,945
1913,1913,985
1914,1914,985
1915,1915,985
1916,1916,985
1917,1917,985
1918,1918,985
1919,1919,985
1920,1920,985
1921,1921,1003
1922,1922,1003
1923,1923,1003
1924,1924,1003
1925,1925,1003
1926,1926,1003
1927,1927,1003
1928,1928,1003
1929,1929,1003
1930,1930,1012
1931,1931,1015
1932,1932,1039
1933,1933,923
1934,1934,937
1935,1935,1007
1936,1936,1065
1937,1937,1034
1938,1938,1003
1939,1939,1003
1940,1940,1003
1941,1941,1003
1942,1942,1003
1943,1943,1003
1944,1944,799
1945,1945,799
1946,1946,799
1947,1947,799
1948,1948,799
1949,1949,799
1950,1950,799
1951,1951,950
1952,1952,1047
1953,1953,1157
1954,1954,1049
1955,1955,1119
1956,1956,1189
1957,1957,1195
1958,1958,1173
1959,1959,1117
1960,1960,1057
1961,1961,874
1962,1962,926
1963,1963,1034
1964,1964,1152
1965,1965,1253
1966,1966,1261
1967,1967,1237
1968,1968,1178
1969,1969,1264
1970,1970,1398
1971,1971,1446
1972,1972,1431
1973,1973,1513
1974,1974,1519
1975,1975,1594
1976,1976,1519
1977,1977,1583
1978,1978,1744
1979,1979,1859
1980,1980,1930
1981,1981,1962
1982,1982,2128
1983,1983,2227
1984,1984,2444
1985,1985,2619
1986,1986,2748
1987,1987,2931
1988,1988,3045
1989,1989,3022
1990,1990,2982
1991,1991,3051
1992,1992,3228
1993,1993,3506
1994,1994,3730
1995,1995,4000
1996,1996,4220
1997,1997,4311
1998,1998,4310
1999,1999,4467
2000,2000,4730
2001,2001,4995
2002,2002,5343
2003,2003,5649
2004,2004,6068
2005,2005,6627
2006,2006,7271
2007,2007,7896
2008,2008,8190
2009,2009,8734
2010,2010,9658
2011,2011,10221
2012,2012,10680
2013,2013,11328
2014,2014,11944
2015,2015,12244
2016,2016,12569
2017,2017,12734
2018,2018,13102
2019,2019,13418
2020,2020,13769
2021,2021,16690
2022,2022,16826
2023,2023,
